iter	Passed	Remaining
412	3439	4888
413	3446	4877
414	3453	4868
415	3460	4858
416	3469	4850
417	3476	4840
418	3484	4831
419	3491	4821
420	3499	4812
421	3507	4804
422	3513	4792
423	3522	4784
424	3528	4773
425	3537	4766
426	3543	4755
427	3552	4748
428	3559	4737
429	3568	4729
430	3574	4719
431	3582	4710
432	3590	4701
433	3597	4692
434	3604	4682
435	3610	4670
436	3620	4664
437	3626	4653
438	3636	4646
439	3642	4635
440	3650	4627
441	3657	4617
442	3666	4610
443	3673	4599
444	3681	4592
445	3688	4581
446	3697	4573
447	3705	4565
448	3713	4556
449	3720	4547
450	3729	4540
451	3736	4530
452	3744	4521
453	3751	4511
454	3757	4500
455	3766	4493
456	3773	4483
457	3781	4475
458	3788	4465
459	3796	4456
460	3802	4446
461	3811	4438
462	3818	4429
463	3827	4421
464	3834	4411
465	3841	4402
466	3849	4393
467	3855	4383
468	3864	4375
469	3870	4365
470	3880	4358
471	3887	4348
472	3895	4340
473	3901	4329
474	3910	4322
475	3917	4312
476	3925	4304
477	3932	4294
478	3941	4286
479	3948	4277
480	3957	4270
481	3964	4260
482	3970	4250
483	3991	4255
484	3997	4245
485	4004	4235
486	4012	4226
487	4018	4216
488	4027	4208
489	4033	4198
490	4042	4190
491	4048	4180
492	4057	4172
493	4064	4162
494	4072	4154
495	4079	4144
496	4087	4136
497	4094	4127
498	4100	4117
499	4109	4109
500	4115	4099
501	4124	4091
502	4130	4081
503	4140	4074
504	4146	4064
505	4155	4057
506	4162	4047
507	4171	4040
508	4177	4029
509	4186	4021
510	4192	4012
511	4200	4003
512	4208	3994
513	4214	3984
514	4223	3977
515	4231	3968
516	4240	3961
517	4250	3954
518	4257	3945
519	4264	3936
520	4272	3928
521	4279	3918
522	4297	3919
523	4305	3910
524	4312	3901
525	4322	3894
526	4331	3888
527	4340	3880
528	4349	3872
529	4357	3864
530	4366	3856
531	4373	3847
532	4382	3839
533	4389	3830
534	4398	3822
535	4425	3830
536	4438	3827
537	4451	3822
538	4459	3814
539	4473	3811
540	4485	3805
541	4492	3795
542	4500	3787
543	4507	3778
544	4516	3770
545	4522	3760
546	4531	3752
547	4538	3743
548	4547	3735
549	4553	3725
550	4562	3717
551	4569	3708
552	4577	3700
553	4584	3690
554	4592	3682
555	4599	3673
556	4606	3663
557	4614	3655
558	4621	3645
559	4629	3637
560	4636	3627
561	4644	3620
562	4651	3610
563	4660	3602
564	4666	3593
565	4675	3585
566	4682	3575
567	4688	3565
568	4696	3557
569	4703	3548
570	4712	3540
571	4718	3530
572	4728	3523
573	4734	3513
574	4743	3506
575	4750	3496
576	4758	3488
577	4765	3478
578	4774	3471
579	4780	3461
580	4788	3453
581	4795	3444
582	4801	3434
583	4810	3426
584	4817	3417
585	4826	3409
586	4832	3400
587	4841	3392
588	4847	3382
589	4857	3375
590	4863	3366
591	4872	3358
592	4879	3348
593	4887	3340
594	4894	3331
